Date,Open,High,Low,Close,Volume,Market Cap
2020-07-17,9131.81,9182.25,9089.2,9151.39,13944570749.0,168710427574.0
2020-07-16,9191.98,9214.31,9088.95,9132.23,15713967523.0,168350501976.0
2020-07-15,9241.9,9275.33,9171.93,9192.84,15844731575.0,169460074576.0
2020-07-14,9238.7,9283.84,9171.66,9243.21,18085038362.0,170380670525.0
2020-07-13,9277.2,9306.4,9224.29,9243.61,17519821266.0,170379677119.0
2020-07-12,9241.06,9319.42,9197.45,9276.5,14452361907.0,170977422928.0
2020-07-11,9277.51,9293.53,9199.49,9240.35,13249910444.0,170302234778.0
2020-07-10,9273.36,9287.47,9118.0,9278.81,16860035605.0,171001933827.0
2020-07-09,9427.99,9431.38,9235.0,9277.97,18000702524.0,170977231638.0
2020-07-08,9253.02,9450.34,9249.5,9428.33,19702359883.0,173738543115.0
2020-07-07,9349.16,9360.62,9201.82,9252.28,13839652595.0,170485472276.0
2020-07-06,9072.85,9375.47,9058.66,9375.47,17889263252.0,172746103840.0
2020-07-05,9126.09,9162.18,8977.02,9073.94,12903406143.0,167181726154.0
2020-07-04,9084.23,9183.3,9053.63,9132.49,12290528515.0,168251076678.0
2020-07-03,9124.84,9202.34,9058.79,9087.3,13078970999.0,167409720388.0
2020-07-02,9231.14,9274.96,9036.62,9123.41,16338916796.0,168065586387.0
2020-07-01,9145.99,9309.75,9104.73,9228.33,15971550355.0,169988756578.0
2020-06-30,9185.58,9217.84,9084.84,9137.99,15735797744.0,168315606321.0
2020-06-29,9140.03,9237.57,9041.88,9190.85,16460547078.0,169280659246.0
2020-06-28,9048.46,9197.55,8975.53,9143.58,14560870760.0,168401806137.0
2020-06-27,9167.82,9207.81,8998.22,9045.39,17273093144.0,166584831506.0
2020-06-26,9260.99,9310.52,9101.74,9162.92,18341465837.0,168741367622.0
2020-06-25,9314.13,9340.16,9095.32,9264.81,18616048626.0,170608289504.0
2020-06-24,9632.15,9680.37,9278.23,9313.61,18961716076.0,171498781280.0
2020-06-23,9644.08,9670.54,9547.25,9629.66,17006433272.0,177310052079.0
2020-06-22,9300.92,9655.07,9296.87,9648.72,21104009514.0,177651397437.0
2020-06-21,9330.93,9401.11,9300.43,9303.63,15324301169.0,171289415079.0
2020-06-20,9290.96,9394.97,9247.38,9332.34,17130541557.0,171809438651.0
2020-06-19,9410.29,9440.88,9274.3,9288.02,19632223107.0,170985625732.0
2020-06-18,9481.57,9482.78,9328.4,9411.84,17770083003.0,173256688664.0
2020-06-17,9533.78,9540.42,9327.34,9480.26,20177709879.0,174508805561.0
2020-06-16,9454.27,9579.43,9400.45,9538.02,21565537209.0,175563963385.0
2020-06-15,9386.04,9504.86,8990.18,9450.7,26699704768.0,173947607772.0
2020-06-14,9477.55,9482.27,9347.59,9386.79,18991732746.0,172763239787.0
2020-06-13,9480.74,9493.21,9396.01,9475.28,17564322315.0,174381819725.0
2020-06-12,9320.69,9540.47,9285.85,9480.84,22610564515.0,174474896922.0
2020-06-11,9870.08,9938.3,9263.07,9321.78,30247143440.0,171538133043.0
2020-06-10,9794.12,9908.9,9728.29,9870.09,25706567601.0,181616765438.0
2020-06-09,9774.36,9836.37,9664.72,9795.7,23717842783.0,180237817527.0
2020-06-08,9760.06,9782.31,9675.89,9771.49,21486346312.0,179782576534.0
2020-06-07,9653.0,9768.5,9458.15,9758.85,25015250846.0,179540253701.0
2020-06-06,9664.9,9773.43,9591.02,9653.68,20438419222.0,177595657884.0
2020-06-05,9800.22,9869.24,9663.22,9665.53,23509628646.0,177801825145.0
2020-06-04,9655.85,9887.61,9525.25,9800.64,25921805072.0,180276153545.0
2020-06-03,9533.76,9682.86,9471.85,9656.72,25007459262.0,177619631126.0
2020-06-02,10162.97,10182.34,9460.57,9529.8,39137252109.0,175277218229.0
2020-06-01,9463.61,10199.56,9450.9,10167.27,35198901068.0,186993405740.0
2020-05-31,9700.11,9700.34,9432.3,9461.06,27773290299.0,173997151930.0
2020-05-30,9438.91,9704.03,9366.73,9700.41,32722975141.0,178390129758.0
2020-05-29,9528.36,9573.67,9379.34,9439.12,32896642044.0,173575756364.0
2020-05-28,9184.94,9546.32,9148.46,9525.75,34367073114.0,175161235290.0
2020-05-27,8837.38,9203.32,8834.16,9181.02,32740536902.0,168814700531.0
2020-05-26,8909.59,8991.97,8757.29,8835.05,29584186947.0,162445535235.0
2020-05-25,8786.11,8951.01,8719.67,8906.93,31288157264.0,163760453116.0
2020-05-24,9212.28,9288.4,8787.25,8790.37,32518803300.0,161610414643.0
2020-05-23,9185.06,9302.5,9118.11,9209.29,27727866812.0,169305492440.0
2020-05-22,9080.33,9232.94,9008.64,9182.58,29810773699.0,168807619957.0
